description	geneID
(Uracil-5)-methyltransferase family	maker-scaffold_306-snap-gene-0.46
(Uracil-5)-methyltransferase family	augustus_masked-scaffold_164-processed-gene-0.228
(Uracil-5)-methyltransferase family	maker-scaffold_378-snap-gene-0.24
[2Fe-2S]-binding	augustus_masked-scaffold_117-processed-gene-0.218
1, 4-beta cellobiohydrolase	maker-scaffold_54-snap-gene-1.20
1, 4-beta cellobiohydrolase	augustus_masked-scaffold_54-processed-gene-1.107
1, 4-beta cellobiohydrolase	maker-scaffold_54-snap-gene-1.48
1, 4-beta cellobiohydrolase	maker-scaffold_54-snap-gene-1.48
1, 4-beta cellobiohydrolase	snap_masked-scaffold_73-processed-gene-1.165
1, 4-beta cellobiohydrolase	maker-scaffold_54-snap-gene-1.47
1, 4-beta cellobiohydrolase	maker-scaffold_54-snap-gene-1.47
1, 4-beta cellobiohydrolase	snap_masked-scaffold_190-processed-gene-0.121
1, 4-beta cellobiohydrolase	maker-scaffold_54-augustus-gene-1.176
1,3-beta-glucan synthase subunit FKS1-like, domain-1	augustus_masked-scaffold_23-processed-gene-1.181
1,3-beta-glucan synthase subunit FKS1-like, domain-1	augustus_masked-scaffold_23-processed-gene-1.181
1,3-beta-glucan synthase subunit FKS1-like, domain-1	augustus_masked-scaffold_17-processed-gene-1.65
1,3-beta-glucan synthase subunit FKS1-like, domain-1	augustus_masked-scaffold_17-processed-gene-1.65
1,3-beta-glucan synthase subunit FKS1-like, domain-1	augustus_masked-scaffold_371-processed-gene-0.31
1,3-beta-glucan synthase subunit FKS1-like, domain-1	augustus_masked-scaffold_371-processed-gene-0.31
1,3-beta-glucan synthase subunit FKS1-like, domain-1	snap_masked-scaffold_3-processed-gene-1.79
1,3-beta-glucan synthase subunit FKS1-like, domain-1	snap_masked-scaffold_3-processed-gene-1.79
1,3-beta-glucan synthase subunit FKS1-like, domain-1	maker-scaffold_110-snap-gene-0.79
1,3-beta-glucan synthase subunit FKS1-like, domain-1	maker-scaffold_110-snap-gene-0.79
1,3-beta-glucan synthase subunit FKS1-like, domain-1	maker-scaffold_3-augustus-gene-1.3
1,3-beta-glucan synthase subunit FKS1-like, domain-1	maker-scaffold_3-augustus-gene-1.3
1,3-beta-glucan synthase subunit FKS1-like, domain-1	augustus_masked-scaffold_2-processed-gene-3.10
1,3-beta-glucan synthase subunit FKS1-like, domain-1	augustus_masked-scaffold_2-processed-gene-3.10
10TM putative phosphate transporter, cytosolic domain	augustus_masked-scaffold_175-processed-gene-0.69
10TM putative phosphate transporter, cytosolic domain	augustus_masked-scaffold_388-processed-gene-0.6
10TM putative phosphate transporter, cytosolic domain	augustus_masked-scaffold_388-processed-gene-0.6
10TM putative phosphate transporter, cytosolic domain	maker-scaffold_121-snap-gene-0.116
10TM putative phosphate transporter, cytosolic domain	maker-scaffold_121-snap-gene-0.116
10TM putative phosphate transporter, cytosolic domain	maker-scaffold_24-snap-gene-1.119
